rdf:type,schema:identifier,schema:name,schema:alternateName,https://sabae.cc/#example,https://sabae.cc/#priority,https://sabae.cc/#yomi@ja,schema:category@ja,https://sabae.cc/#format@ja,schema:description@ja,https://sabae.cc/#yomi@en,schema:category@en,https://sabae.cc/#format@en,schema:description@en
schema:DefiedTerm,111,CLP,,CLP,,クリア・パターン,メモリ,CLP,キャラクターパターン(#700-#7FF)を初期化する,clear pattern,Memory,CLP,initialize the character pattern memory (#700-#7FF)
schema:DefiedTerm,112,"""",,"A=""ABC""",,ダブル・クォート,テキスト,"""文字列""",文字列の先頭アドレスを返す,double quote,Text,"""strings""",return the address of strings on the memory
schema:DefiedTerm,113,STR,,PRINT STR$(A),,ストリング,テキスト,"STR$(数1{,数2})",PRINT内で、文字列を返す（数2(省略可)で長さ指定）,stings,Text,"STR$(num1{,num2})","In PRINT, return strings from address specified num1 (num2:length you can omit)"
schema:DefiedTerm,114,LEN,,"PRINT LEN(""ABC"")",,レングス,テキスト,"LEN(""文字列"")",文字列の長さを返す,length,Text,"LEN(""strings"")",return the length of strings
schema:DefiedTerm,115,@,,@LOOP,,アット・マーク,プログラム,@ラベル,行の先頭に書くとラベルとなり、行番号の代わりとして使える（GOTO @LOOPなど） ※前方一致,at mark,Program,@label,"Put in front of the line, you can as destination line number (type GOTO @LOOP)"
schema:DefiedTerm,116,VIDEO,,VIDEO 0,,ビデオ,テキスト,"VIDEO 数1{,数2}",画面表示非表示を切り替える 0で画面表示を停止し処理高速化 （F8で表示）、省略可能な数2でVIDEO0時CPUクロックを1/数2に変更し省電力化、数1が2の倍数で白黒反転、数1が3以上で拡大モード,video,Text,"VIDEO num1{,num2}","switch the video signal enabled or disabled (num0:0 disabled / 1 enable[F8] / 2 invert black and white / greater than bigmode, num2:when num0 is 0 clock down mode clock=1/num2)"
schema:DefiedTerm,117,RESET,,RESET,,リセット,プログラム,RESET,IchigoJamをリセットする,reset,Program,RESET,reboot the IchigoJam
schema:DefiedTerm,118,SLEEP,,SLEEP,,スリープ,プログラム,SLEEP,プログラムを休止する (ボタンを押すと起動し、LRUN0を実行する),sleep,Program,SLEEP,"sleep the IchigoJam (after push the button, execute and run file 0)"
schema:DefiedTerm,119,UART,,UART 0,,ユー・アート,入出力,"UART 数1{,数2}",数1：シリアル出力設定（0:オフ、1:PRINTのみ、2:PRINT/LC/CLS/SCROLL、3:PRINTのみ/改行コード\r\n、+4で入力エコーバック、+8で画面表示OFF、初期値:2）、数2：シリアル受信設定（0:オフ、1:オン、+2:ESC無効、+4:CR変換(13→10) 省略時1）,UART,I/O,"UART num1{,num2}","set UART mode (num1 0:off 1:with PRINT 2:with PRINT/LC/CLS/SCROLL 3:with PRINT and enter code is \r\n, echo back input with +4, disable screen put with +8, initial value:2) (num2 0:UART recv off, 1:on, +2:ignore ESC, +4:CR change(13→10), initial value:1)"
schema:DefiedTerm,121,BPS,,BPS 9600,,ビー・ピー・エス,入出力,"BPS 数1{,数2}","シリアル通信速度を変更する(0で初期値の115,200bps、-1:57600bps、-2:38400bps、-100以下指定で指定した数の-100倍bpsに指定、-2304:230400bps)。数2でI2Cの通信速度設定（単位kHz、0:デフォルト400kHz)",BPS,I/O,"BPS num1{,num2}","num1: set UART speed (0:115,200bps -1:57600bps -2:38400bps or 9600 and so on ... if -100 or less, -100 times speed. For example, if it is -2604, it is 260400 initial value:0), num2: set I2C speed(unit kHz, 0:400kHz default value:0)"
schema:DefiedTerm,120,OK,,OK 2,,オーケー,プログラム,OK {数},OKやエラーメッセージの表示有無を切り替える（数、1:表示、2:非表示、省略で1）,OK,Program,OK {num},"show OK and error messages (1: message on if omit, 2: message off)"
schema:DefiedTerm,121,I2CR,,"R=I2CR(#50,#114A,2,#114C,2)",,アイ・ツー・シー・リード,入出力,"I2CR(数1,数2,数3,数4,数5)",I2Cで周辺機器から読み込む I2Cアドレス、コマンド送信アドレス・長さ、受信アドレスと長さ（コマンド送信が1byteの時数3を省略可、コマンド送信が0byteの時数2/数3を省略可）,I two C read,I/O,"I2CR(num1,num2,num3,num4,num5)","read from I2C device num1:I2C address, num2:address of command, num2:length of command, num4:address of return data, num5:length of return data (if command is 1byte you can omit num2, if no commands num2/num3 you can omit)"
schema:DefiedTerm,122,I2CW,,"R=I2CW(#50,#114A,2,#114C,2)",,アイ・ツー・シー・ライト,入出力,"I2CW(数1,数2,数3,数4,数5)",I2Cで周辺機器に書き込む I2Cアドレス、コマンド送信アドレス・長さ、送信アドレスと長さ（数4/数5は省略可、コマンド送信が1byteの時数3を省略可）,I two C write,I/O,"I2CW(num1,num2,num3,num4,num5)","write to I2C device num1:I2C address, num2:address of command, num2:length of command, num4:address of return data, num5:length of return data (you can omit num4/num5, if command is 1byte you can omit num2)"
schema:DefiedTerm,123,IOT.IN,,R=IOT.IN(),,アイ・オー・ティー・イン,入出力,IOT.IN(),sakura.ioモジュールから受信した数を一つ読み込む,IoT in,I/O,IoT.IN(),get a received number from the sakura.io module
schema:DefiedTerm,124,IOT.OUT,,IOT.OUT 100,,アイ・オー・ティー・アウト,入出力,IOT.OUT 数,sakura.ioモジュールへ数をチャンネル0で即時送信する,IoT out,I/O,IoT.OUT num,send a number to send via the sakura.io module as the 0 channel
schema:DefiedTerm,125,WS.LED,,WS.LED 3,,ダブリュー・エス・エル・イー・ディー,入出力,"WS.LED 数1{,数2}",配列の先頭から緑赤青の順に設定された値でLEDに接続されたWS2812Bを数1の分光らせる。数2を指定するとその数だけ繰り返す。 *ver1.4以上,WS LED,I/O,"WS.LED num1{,num2}","The WS2812B connected to LED lights up by num1 with values ​​set in the order of green, red, and blue from the beginning of the array. If the num2 is specified, it repeats that number. *for ver 1.4"
schema:DefiedTerm,126,SWITCH,,SWITCH,,スイッチ,入出力,"SWITCH {数1{,数2}}",画面表示をテレビと液晶とを切り替える（数1 0:テレビ、1:液晶）、数2で液晶の濃さを指定,switch,I/O,SWITCH {num},"switch the video output, TV or LCD (0:TV 1:LCD)"
schema:DefiedTerm,127,USR,,"A=USR(#700,0)",,ユーザー,プログラム,"USR(数1{,数2})",数1で指定されたアドレスのマシン語(Arm Cortex-M0)を数2をパラメータとして呼び出す（数2省略で0）,user,Program,"USR(address{,num})",Call the machine language (Arm Cortex-M0) of the address specified by the num1 with the num2 as a parameter (0 for num2 omitted)
